马克思主义的鲜明特征是（ ）。,多选,ABCD,科学性,革命性,实践性,人民性,0
马克思主义理论体系包括（  ）三个基本组成部分。,多选,ACD,马克思主义哲学,剩余价值学说,马克思主义政治经济学,科学社会主义,0
与唯物史观相对立的社会历史观是,单选,C,唯物主义,唯心主义,唯心史观,形而上学,0
下列不属于社会存在的是,单选,D,物质生产方式,人口因素,自然地理环境,个体意识,0
科学技术是人类社会历史发展的,单选,B,根本动力,强大杠杆,火车头,直接动力,0
下列正确的观点是,单选,D,英雄可以随心所欲地创造历史,英雄是社会精神财富的创造者,英雄决定历史发展的方向,杰出人物比一般人站得高、看得远,0
1．“从物到感觉和思想”与“从思想和感觉到物”的对立属于,单选,D,辩证法和形而上学的对立,经验论和唯理论的对立,能动革命的反映论和直观被动的反映论的对立,唯物主义反映论和唯心主义先验论的对立,0
2."社会一旦有技术上的需要，则这种需要会比十所大学更能把科学推向前进"。表明",单选,C,实践是沟通主客体关系的桥梁,实践是检验认识真理性的标准,实践的需要是推动认识发展的动力,实践为认识提供物质手段,0
4．感性认识和理性认识的根本区别在于,单选,B,感性认识包含错误，理性认识则完全正确,感性认识反映事物的现象，理性认识反映事物的本质,感性认识来源于社会实践，理性认识来源于抽象思维,感性认识产生于日常生活，理性认识则产生于科学实验,0
5.从确立“两个一百年”奋斗目标到提出“中国梦”，从把握中国经济发展新常态到牢固树立五大发展理念……蕴藏鲜明时代内涵的治国理政总体方略与时俱进、不断发展。治国理政总体方略的发展所体现的哲理是,单选,A, 真理性的认识随着实践的发展而发展, 人类社会是一个不断变化发展的过程, 真理反映的对象是客观事物及其规律, 理论是否正确一定要经过实践的检验,0
"剩余价值转化为利润，是因为剩余价值被看作是生产商品中所（ ）",单选,C,耗费的可变资本的增加额,预付的不变资本的增加额,预付的全部资本的增加额,耗费的全部资本的增加额,0
"“当一位杰出的老科学家说什么是可能的时候，他差不多总是对的；但当他说什么是不可能的时候，他差不多总是错的。”这一名言的哲学意蕴是",单选,D,在科学研究中，经验是不可靠的,事物的可能性是因人而异的,世界上一切事物只有可能性，没有不可能性,每代人所获得的真理性认识，既有绝对性，又有相对性,0
"未来学家尼葛洛庞蒂说：“预测未来的最好办法就是把它创造出来。”从认识与实践 的关系看，这句话对我们的启示是",单选,C,认识总是滞后于实践, 实践是认识的先导,实践高于认识,实践与认识是合一的,0
"“只有音乐才能激起人的音乐感;对于没有音乐感的耳朵说来，最美的音乐也毫无意 义”。这表明",单选,A,人的认识是主体与客体相互作用的过程和结果,人的感觉能力决定认识的产生和发展,人的认识能力是由人的生理结构决定的,事物因人的感觉而存在,0
农民在致富奔小康的过程中深切体会到：“要富口袋，先富脑袋”，这一说法在哲学上的含义是,单选,A,精神的力量可以变成物质的力量,精神是第一性的，物质是第二性的,精神的力量可以代替物质的力量,先有精神，后有物质,0
“居安思危”这句话体现的哲学道理是,单选,D,事物发展是量变和质变的统一,内因和外因相结合推动事物发展,矛盾既具有普遍性又具有特殊性,矛盾双方在一定条件下可以相互转化,0
“在对现存事物的肯定的理解中同时包含着对现存事物的否定的理解，即对现存事物必然灭亡的理解”，这是一种,单选,C,庸俗进化论的观点,相对主义诡辩论的观点,唯物辩证法的观点,激变论的观点,0
世界上唯一不变的是变化。这一论断的含义是,单选,B,变是世界的本质,变是绝对的，不变是相对的,世界上只有变，没有不变,变与不变是绝对对立的,0
1848年，（  ）的发表，标志着马克思主义的公开问世。,单选,A,《共产党宣言》,《资本论》,《神圣家族》,《德意志意识形态》,0
