一些地方的人们掠夺性地滥挖草原上的甘草，虽获得了一定的经济利益，却破坏了草原植被，造成土地荒漠化，一遇大风，沙尘暴铺天盖地而至，给人们带来了巨大灾难。这些人的做法忽视了（）,单选,A,事物普遍联系的观点,事物永恒发展的观点,量变和质变统一的观点,必然性和偶然性统一的观点,0
区分新事物和旧事物的标志在于看它们（）,单选,B,是不是在新的历史条件下出现的,是不是符合事物发展规律，有强大的生命力,是不是具有新形式和新特点,是不是得到绝大多数人的承认,0
联系的客观性和普遍性原理的方法论意义在于（）,单选,A,要求我们用联系的观点看世界,它是认识事物本质的基础,它是科学分门别类的客观依据,它是正确区分不同事物的基础,0
矛盾问题的精髓是（）,单选,C,主要矛盾和次要矛盾的关系问题,矛盾的同一性和斗争性的关系问题,矛盾的普遍性和特殊性的关系问题,矛盾的主要方面和次要方面的关系问题,0
辩证法所要回答的是（）,单选,C,世界的本原是什么的问题,世界的本质是什么的问题,世界的状况是怎么样的问题,世界是否可知的问题,0
唯物辩证法的总特征是（）,单选,C,唯物辩证法的范畴体系,矛盾的对立面又统一又斗争的观点,普遍联系和永恒发展的观点,运动和静止辩证统一的观点,0
唯物辩证法的实质和核心是（）,单选,B,质量互变规律,对立统一规律,否定之否定规律,联系和发展的规律,0
"古人说："白马非马"，这种说法的错误在于它割裂了（）",单选,B,矛盾的斗争性和同一性的关系,矛盾的普遍性和特殊性的关系,主要矛盾和次要矛盾的关系,矛盾的主要方面和次要方面的关系,0
"世纪50年代，北大荒一片荒凉。由于人口剧增，生产力水平低下，吃饭问题成为中国面临的首要问题，于是人们不得不靠扩大耕地面积增加粮食产量，经过半个世纪的开垦，北大荒成了全国闻名的"北大仓"。然而由于过度开垦已经造成了许多生态问题。现在，黑龙江垦区全面停止开荒，退耕还"荒"。这说明（）",单选,C,人与自然的和谐最终以恢复原始生态为归宿,"人们改造自然的一切行为都会遭到"自然界的报复",人们应合理地调节人与自然之间的物质变换,人在自然界面前总是处于被支配的地位,0
"世界不是既成事物的集合体，而是过程的集合体。"这句话是一种（）",单选,A,唯物辩证法的观点,唯心主义的观点,形而上学的观点,相对主义的观点,0
面对消极腐败的东西，我们一定要提高警惕，做到见微知著，防微杜渐。因为（）,单选,A,量变积累到一定程度就会引起质变,原因必然引起结果,外因通过内因而起作用,矛盾双方在一定条件下相互转化,0
否认意识形式的主观性，把意识看成是人脑的分泌物，这是（）,单选,D,机械唯物主义的观点,唯心主义的观点,辩证唯物主义的观点,庸俗唯物主义的观点,0
一切哲学都是（）,单选,B,"包罗万象的"科学之科学",关于世界观和方法论的学说,科学的世界观和方法论,关于自然、社会、思维发展的普遍规律的科学,0
"我国汉朝的董仲舒说："古之天下，亦今之天下；今之天下，亦古之天下。"这是（）",单选,D,唯物论的观点,唯心论的观点,辩证法的观点,形而上学的观点,0
